Título;Autores;Data de publicação;Editora
As Sandálias do Pescador;Morris West;;
As Setes Partidas do Mundo;Fernando Namora;;
As Viagens de Gulliver;Jonathan Swift;;
As Vias de Passagem ao Socialismo;A. Butenko;;
As Vinhas da Ira;John Steinbeck;;
Assim foi Temperado o Aço;Nikolai Ostrovski;;
Assim Morreu Che Guevara;Grande Reportagem;;
Atlas das Civilizações Antigas;Peter Chrisp;;
Até Amanhã Camaradas;Manuel Tiago;;
Até Amanhã Camaradas;Manuel Tiago;;
Até que as pedras se tornem mais leves que a água;António Lobo Antunes;01/11/2017;Publicacoes Dom Quixote
Auto da Feira;Gil Vicente;;
Auto da Mofina Mendes e Dialogo Infantil;Gil Vicente;;
Auto dos Danados;ANTONIO LOBO ANTUNES;;
Aventura Maravilhosa de D. Sebastião VII;Aquilino Ribeiro;;
Avieiros;Alves Redol;;
Aviso por Causa da Moral;Álvaro De Campos;;
Avós Modernos;Fernande Isambert;;
Bacalhau;VARIOS AUTORES;;
Bach  Uma Vida;Davitt Moroney;;
Balada da Praia dos Cães;Jose? Cardoso Pires;;
Balada da Praia dos Cães;Jose? Cardoso Pires;;
Balada de amor ao vento;Paulina Chiziane;2003;Editorial Caminho
Balbúrdia na Cidade;Tom Sharpe;;
Ballet Gulbenkian 1985/1986;Fundação Calouste Gulbenkian;;
Balzac A Comédia Humana;Jaime Brasil;;
Banco;Henri Charriere;;
Barcelona;Mapa Turístico;;
Barranco de Cegos;Alves Redol;;
Bartolomeu Lourenço de Gusmão;Grandes Portugueses;;
Bastardos do Sol;Urbano Tavares Rodrigues;;
Baudolino;Umberto Eco;;Harcourt
Beber, Jogar, F*der;Andrew Gottlieb;01/01/2009;
Bem Falar e Bem Escrever;Readers Digest;;
Bem Haja;VARIOS AUTORES;;
Biafra A Guerra Secreta de Portugal;Grande Reportagem;;
Bica Escaldada;Alice Vieira;;
Bichos;Miguel Torga;;
Billy Budd;Herman Melville;;
Boitempo;Carlos Drummond De Andrade;;
Bom sono boa vida;Teresa Paiva;;
Botero;O Público;;
Botero em Lisboa;CML;;
Botero em Lisboa;Câmara Municipal De Lisboa;;
Breve Historia do Futuro;Jacques Attali;;DOM QUIXOTE
Breve História de Quase Tudo;Bill Bryson;06/05/2003;
Breviário de Khomeini;Khomeini;;
Broche Suburbano;Fanzine Poético;;
Budapest;Mapa Turístico;;
Budismo;Houston Smith;;
Busca;José Fanha;;
Caatinga e Terra Caida;Vitorino Nemésio;;
Cabo Verde Contra toda a Esperança;Grande Reportagem;;
Cacau;Jorge Amado;;
Cada Homem é uma Raça;Mia Couto;;
Cadernos Biográficos;Agostinho da Silva;;
Cadernos de Lanzarote;José Saramago;;
Cadernos de Lanzarote;José Saramago;1998;Luso Brazilian Books
Cafuné;Mário Zambujal;;Clube do Autor
Caim;José Saramago;;
Camarate;Augusto Cid;;
Caminho como uma casa em chamas;António Lobo Antunes;2014;Leya
Caminhos de Invasão;Cte. J. Moreira Campos;;
